"Station","","'=","1301 Bad Rotenfels Murg 10 47",""
"Komponente","","'=","3 91 2 Schüttung, Durchfluss Q m³/s OG",""
"Produkt","","'=","1 0000010000 3 Tagesmittelwert",""
"Zeitraum","","'=","Thu Jan 01 00:00:00 CET 1981 Tue Dec 31 23:59:59 CET 2024",""


"Messstellennummer","Stationsname","Gewässer","Parameter","Datum / Uhrzeit","Zeitbezug","Wert","Einheit","Produkt"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-14","MEZ","6,21","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-15","MEZ","5,479","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-16","MEZ","5,729","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-17","MEZ","5,25","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-18","MEZ","5,835","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-19","MEZ","6,221","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-20","MEZ","5,205","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-21","MEZ","5,482","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-22","MEZ","5,858","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-23","MEZ","6,505","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-24","MEZ","5,399","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-25","MEZ","5,166","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-26","MEZ","5,516","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-27","MEZ","4,899","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-28","MEZ","4,626","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-29","MEZ","6,012","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-30","MEZ","6,415","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-01","MEZ","4,273","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-02","MEZ","4,034","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-03","MEZ","5,461","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-04","MEZ","8,6","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-05","MEZ","5,33","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-06","MEZ","4,745","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-07","MEZ","4,659","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-08","MEZ","4,588","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-09","MEZ","4,536","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-10","MEZ","4,99","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-11","MEZ","7,707","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-12","MEZ","5,422","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-13","MEZ","5,961","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-14","MEZ","6,594","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-15","MEZ","6,463","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-16","MEZ","6,381","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-17","MEZ","6,581","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-18","MEZ","6,514","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-19","MEZ","6,577","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-20","MEZ","7,388","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-21","MEZ","18,428","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-22","MEZ","10,176","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-23","MEZ","9,767","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-24","MEZ","10,128","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-25","MEZ","11,178","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-26","MEZ","15,524","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-27","MEZ","12,434","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-28","MEZ","11,962","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-29","MEZ","9,242","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-30","MEZ","9,234","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-07-31","MEZ","7,706","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-01","MEZ","6,495","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-02","MEZ","6,153","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-03","MEZ","5,818","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-04","MEZ","6,504","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-05","MEZ","5,214","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-06","MEZ","4,967","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-07","MEZ","4,953","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-08","MEZ","5,61","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-09","MEZ","6,437","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-10","MEZ","6,972","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-11","MEZ","9,324","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-12","MEZ","7,356","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-13","MEZ","5,42","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-14","MEZ","5,014","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-15","MEZ","4,975","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-16","MEZ","4,192","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-17","MEZ","4,41","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-18","MEZ","4,903","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-19","MEZ","4,868","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-20","MEZ","5,355","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-21","MEZ","13,695","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-22","MEZ","7,136","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-23","MEZ","22,038","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-24","MEZ","14,443","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-25","MEZ","7,108","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-08-26","MEZ","7,113","m³/s","Tagesmittelwert"
