valid_time,latitude,longitude,tp,number
1981-03-02,48.65,8.45,0.0015457922,0
1981-03-02,48.4,8.2,0.00094571407,0
1981-03-02,48.65,8.2,0.0016256107,0
1981-03-02,48.4,8.45,0.0009455664,0
1981-03-03,48.4,8.45,0.0044372575,0
1981-03-03,48.4,8.2,0.0041136416,0
1981-03-03,48.65,8.2,0.0030016466,0
1981-03-03,48.65,8.45,0.0034766719,0
1981-03-04,48.65,8.2,0.0035674465,0
1981-03-04,48.65,8.45,0.003716105,0
1981-03-04,48.4,8.2,0.0035700398,0
1981-03-04,48.4,8.45,0.003334993,0
1981-03-05,48.65,8.2,0.0011230595,0
1981-03-05,48.65,8.45,0.0011563478,0
1981-03-05,48.4,8.2,0.0008782319,0
1981-03-05,48.4,8.45,0.00073670334,0
1981-03-06,48.65,8.2,0.0031981824,0
1981-03-06,48.65,8.45,0.0029893534,0
1981-03-06,48.4,8.2,0.0028528126,0
1981-03-06,48.4,8.45,0.002564817,0
1981-03-07,48.4,8.45,0.0008046882,0
1981-03-07,48.4,8.2,0.0010302359,0
1981-03-07,48.65,8.2,0.0008577196,0
1981-03-07,48.65,8.45,0.0007784463,0
1981-03-08,48.65,8.2,0.0045761038,0
1981-03-08,48.65,8.45,0.0046015545,0
1981-03-08,48.4,8.2,0.0044565434,0
1981-03-08,48.4,8.45,0.0044876896,0
1981-03-09,48.65,8.2,0.004101632,0
1981-03-09,48.65,8.45,0.0041192193,0
1981-03-09,48.4,8.2,0.0036537875,0
1981-03-09,48.4,8.45,0.0035270995,0
1981-03-10,48.65,8.2,0.012289507,0
1981-03-10,48.65,8.45,0.011830832,0
1981-03-10,48.4,8.2,0.012446396,0
1981-03-10,48.4,8.45,0.0097887395,0
1981-03-11,48.4,8.45,0.010729697,0
1981-03-11,48.4,8.2,0.00987575,0
1981-03-11,48.65,8.2,0.0110914325,0
1981-03-11,48.65,8.45,0.011178982,0
1981-03-12,48.65,8.2,0.01656987,0
1981-03-12,48.65,8.45,0.017203415,0
1981-03-12,48.4,8.2,0.016075814,0
1981-03-12,48.4,8.45,0.017374562,0
1981-03-13,48.65,8.2,0.009997918,0
1981-03-13,48.65,8.45,0.0112818405,0
1981-03-13,48.4,8.2,0.009004888,0
1981-03-13,48.4,8.45,0.009819739,0
1981-03-14,48.4,8.45,0.0021193551,0
1981-03-14,48.65,8.2,0.002703359,0
1981-03-14,48.65,8.45,0.003408046,0
1981-03-14,48.4,8.2,0.001963428,0
1981-03-15,48.4,8.45,0.0018120115,0
1981-03-15,48.4,8.2,0.0010275415,0
1981-03-15,48.65,8.2,0.00097490766,0
1981-03-15,48.65,8.45,0.0018968988,0
1981-03-16,48.65,8.2,0.0054914607,0
1981-03-16,48.65,8.45,0.0049308008,0
1981-03-16,48.4,8.2,0.00567234,0
1981-03-16,48.4,8.45,0.00566053,0
1981-03-17,48.4,8.2,0.0037234798,0
1981-03-17,48.65,8.2,0.0033792267,0
1981-03-17,48.65,8.45,0.0037721207,0
1981-03-17,48.4,8.45,0.0035211146,0
1981-03-18,48.4,8.45,0.0007344963,0
1981-03-18,48.4,8.2,0.00062672497,0
1981-03-18,48.65,8.45,0.00060261315,0
1981-03-18,48.65,8.2,0.0004798533,0
1981-03-19,48.65,8.2,0.00010099182,0
1981-03-19,48.65,8.45,6.578792e-05,0
1981-03-19,48.4,8.2,3.174518e-05,0
1981-03-19,48.4,8.45,2.0789492e-05,0
1981-03-20,48.65,8.2,0.0,0
1981-03-20,48.65,8.45,0.0,0
1981-03-20,48.4,8.2,0.0,0
1981-03-20,48.4,8.45,0.0,0
1981-03-21,48.4,8.2,9.5729774e-08,0
1981-03-21,48.4,8.45,3.8163853e-07,0
1981-03-21,48.65,8.2,0.0,0
1981-03-21,48.65,8.45,2.860179e-07,0
1981-03-22,48.65,8.2,0.0016917088,0
1981-03-22,48.65,8.45,0.002060002,0
1981-03-22,48.4,8.2,0.0015337323,0
1981-03-22,48.4,8.45,0.001849053,0
1981-03-23,48.65,8.2,0.011857572,0
1981-03-23,48.65,8.45,0.011316172,0
1981-03-23,48.4,8.2,0.011357999,0
1981-03-23,48.4,8.45,0.010919875,0
1981-03-24,48.4,8.45,0.011518095,0
1981-03-24,48.65,8.2,0.011188686,0
1981-03-24,48.65,8.45,0.0138633475,0
1981-03-24,48.4,8.2,0.011670489,0
1981-03-25,48.4,8.2,0.004692731,0
1981-03-25,48.4,8.45,0.0040814443,0
1981-03-25,48.65,8.2,0.008403338,0
1981-03-25,48.65,8.45,0.008339108,0
