date,t2m_mean,tp_sum
09/05/2006,9.338083441936131,9.027139467572532
10/05/2006,9.07142044193613,0.3136843748741715
11/05/2006,10.688089441936132,5.750879843132164
12/05/2006,11.571390441936131,3.9733351822727134
13/05/2006,12.104745441936132,5.384914756229953
14/05/2006,12.671396441936132,5.890295020430433
15/05/2006,14.504770441936133,0.1219883623007367
16/05/2006,15.13807144193613,0.0697076348668071
17/05/2006,13.504739441936133,5.628892138149434
18/05/2006,12.104745441936132,6.482810016936584
19/05/2006,10.27140244193613,17.13065248173177
20/05/2006,9.78809544193613,4.130177503227519
21/05/2006,11.704721441936131,1.8995331874896888
22/05/2006,14.954721441936131,8.974859022579933
23/05/2006,11.82142044193613,0.0
24/05/2006,14.65476444193613,6.360822311953855
25/05/2006,11.738077441936133,1.6904102572127826
