date,t2m_mean,tp_sum,flow_m3_s
1981-04-18,2.349195000000009,0.0442535255,7.648
1981-04-19,1.656112500000006,2.121918875,7.152
1981-04-20,4.599685000000022,0.60299143,7.528
1981-04-21,5.458745000000022,0.0,9.109
1981-04-22,4.371850000000052,0.001191737825,8.458
1981-04-23,3.776625000000024,0.053118952,9.141
1981-04-24,5.3437000000000126,0.0056298049499999,8.329
1981-04-25,9.183737500000008,0.19150386,6.479
1981-04-26,6.933695000000057,7.8975856749999,5.918
1981-04-27,1.9369925000000308,15.50881275,9.38
1981-04-28,2.859527500000013,7.436636750000001,13.091
1981-04-29,4.261142500000005,3.14142265,9.454
1981-04-30,7.811517500000036,3.729093275,8.619
1981-05-01,8.009262500000034,12.36275575,26.735
1981-05-02,4.688500000000033,0.4367997325,42.366
